ID,User Story/Use Case,Priority,Story Points (Relative Effort),Acceptance Criteria (When is it done?),Status
1,"Users (students, faculty, and administrators) can register and log in.",2,low,User can enter credentials to gain access to the system. ,Done
2,"Admins can create, edit, or delete user accounts.",1,moderate,"User with admin role has the ability to create, edit, and delete user accounts in the system.",To Do
3,"Role-based access: admin, event organizer, participant.",2,High,Users will have access and be able to view different parts of the system based on the user's role.,Done
4,"Organizers can create new events with details such as title, date, time, location, and description.",1,High,Event organizer can create an event in the system using specific parameters.,Done
5,System displays available rooms and venues based on date/time.,1,moderate,"While searching for available rooms in the system, the rooms will be displayed by date/time across the graphical interface.",To Do
6,Users can reserve rooms for approved events.,2,low,While a user has an approved event in the system they can then reserve a room.,To Do
7,Participants can register for events.,1,High,When a participant can find an event and click it so they can register for the event.,To Do
8,The system prevents duplicate registrations.,1,High,The system checks the the current list of people registered for an event to ensure theres no duplicate registration.,To Do
9,Attendance tracking and participation records are stored.,2,low,When the system tracks and stores all data related to attendance and participationin XML format.,To Do
10,"Email or SMS alerts for upcoming events, cancellations, or schedule changes.",3,High,When an email or sms messege/alert is sent to all users registered for an event.,To Do
11,Reminders for registered participants.,3,moderate,When a messege is sent to all users registered for an event when the event is beginning soon.,To Do
12,"Users can search events by date, organizer, or category.",1,High,"When a user is searching for all available events they can filter results shown by date, category.",To Do
13,"Filters for ongoing, upcoming, and past events.",2,moderate,"When a user is searching for all available events they can filter results shown by onging, upcoming, and past events.",To Do
14,Participants can leave feedback after attending an event.,3,low,When a participant can provide feedback about an event and submit it to be seen.,To Do
15,Organizers can review and analyze feedback for improvement.,3,moderate,When an event organizer can view/review submitted feedback from an event they organized.,To Do
16,"All data (events, users, bookings) stored in XML format.",1,High,"When data about events, users, and bookings is stored everytime its changed in XML format.",To Do
