Sprint Goal,User Story,Task,Assigned To,Status,Notes
Sprint 1: Main Code,"Users (students, faculty, and administrators) can register and log in.","Create and implement User class, with login credentials ",Liam,Done,
Sprint 1: Main Code,"Admins can create, edit, or delete user accounts.","Create and implement Admin class as well as methods for edit, delete, and create users.",Marcus,To Do,
Sprint 1: Main Code,"Role-based access: admin, event organizer, participant.",Implement method for Admin to assign roles to users.,Marcus,Done,
Sprint 1: Main Code,"Organizers can create new events with details such as title, date, time, location, and description.",Create and implement Organizer and Event classes.,Liam,Done,
Sprint 1: Code/Review,"Make sure all code is working, and can work together.",Make sure the current code is working as expected.,Liam/Marcus,Done,
Sprint 1: Design,Make a clean and intuitive user interface for the system.,Design and begin creating graphical user interface for Campus Management System.,Liam/Marcus,Done,
,,,,,
Sprint 2: Main Code,Participants can register for events.,User can look at and register for specific event.,Liam,To Do,
Sprint 2: Main Code,"Admins can create, edit, or delete user accounts.","Create and implement Admin class as well as methods for edit, delete, and create users.",Marcus,To Do,
Sprint 2: Main Code,The system prevents duplicate registrations.,The system uses logic to check if the person is already registered for the current event,Marcus,To Do,
Sprint 2: Main Code,"Users can search events by date, organizer, or category.","Search results for all events can be filteres by date, organizer, and category.",Liam,To Do,
Sprint 2: Main Code,"Additional filters for ongoing, upcoming, and past events.","Filters for ongoing, upcoming, and past events while searching for events.",Liam,To Do,
Sprint 2: Testing,"Make sure all code is working, and can work together.",Make sure the current code is working as expected.,Liam/Marcus,To Do,
